parent,key,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Clinton,Amazing,23,28,31,29,26,32,21,40,43,97,32,46,25,44,61,42,66,364,82
Clinton,Appalling,39,24,19,20,12,17,9,10,23,31,13,20,22,27,19,16,21,75,36
Clinton,Atrocious,2,5,2,1,2,4,4,3,2,4,5,1,2,1,3,2,3,12,2
Clinton,Awesome,22,15,7,13,5,9,10,13,11,27,9,10,5,7,15,10,27,88,28
Clinton,Awful,45,30,38,27,31,32,27,32,45,77,15,33,21,42,34,29,60,184,61
Clinton,Disastrous,46,36,40,35,27,36,25,41,71,105,33,38,26,46,25,18,56,203,55
Clinton,Dreadful,27,13,17,11,14,6,17,12,20,27,16,11,16,9,19,6,15,37,16
Clinton,Excellent,19,42,38,33,40,50,34,47,48,120,45,69,41,61,57,43,82,184,62
Clinton,fantastic,13,17,27,23,25,27,25,30,34,66,16,16,24,22,22,20,47,143,43
Clinton,Horrendous,2,5,3,6,4,5,5,4,5,15,9,4,2,8,6,3,14,37,8
Clinton,Horrible,23,18,18,16,18,13,13,17,16,39,9,18,18,23,22,19,48,244,68
Clinton,Horrific,21,8,20,12,10,11,10,10,12,19,6,14,19,26,14,17,33,103,27
Clinton,Horrifying,9,6,8,0,1,6,4,3,5,14,6,4,3,3,3,5,17,48,20
Clinton,Incredible,22,20,26,18,19,21,17,24,30,70,14,18,25,47,40,40,72,287,81
Clinton,Phenomenal,7,7,5,3,10,5,1,3,10,11,2,4,10,4,6,17,11,39,13
Clinton,Superb,9,9,13,15,15,33,13,15,16,22,14,11,12,8,11,12,21,27,20
Clinton,Terrible,120,70,68,58,43,72,42,70,72,128,41,59,50,65,67,47,123,395,127
Clinton,Terrific,16,10,14,10,17,18,7,8,16,37,8,14,16,10,9,5,19,83,21
Clinton,Tremendous,27,20,20,18,15,15,17,12,37,54,17,28,20,18,22,11,54,239,66
Clinton,Wonderful,39,52,41,39,47,55,40,36,60,111,43,40,44,37,50,40,83,236,86
