parent,key,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Trump,Amazing,4,7,4,6,9,11,11,5,12,22,11,14,20,18,24,28,72,556,433
Trump,Appalling,2,1,1,1,3,7,5,3,6,6,2,2,4,9,11,15,21,157,215
Trump,Atrocious,2,0,0,0,0,1,1,0,1,0,2,2,0,0,0,1,6,21,26
Trump,Awesome,6,2,2,2,0,1,3,6,4,3,4,1,10,8,7,6,30,140,95
Trump,Awful,8,5,5,5,3,5,3,8,13,16,6,2,11,16,24,16,67,354,367
Trump,Disastrous,0,1,4,4,3,9,11,6,12,8,7,6,8,9,12,17,51,302,339
Trump,Dreadful,3,1,2,3,1,0,3,2,6,6,5,9,4,6,4,7,15,101,104
Trump,Excellent,1,3,5,13,9,9,15,22,20,19,21,20,23,25,30,20,85,407,350
Trump,fantastic,5,4,5,4,1,9,14,13,12,11,11,11,18,17,20,25,44,272,290
Trump,Horrendous,3,0,0,1,0,0,1,0,2,3,2,5,2,3,1,6,20,55,60
Trump,Horrible,1,3,0,0,2,9,4,5,11,10,2,5,7,16,7,13,70,365,298
Trump,Horrific,1,0,2,1,1,2,2,1,1,3,2,3,6,2,4,7,25,175,199
Trump,Horrifying,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,2,18,83,92
Trump,Incredible,2,2,4,7,4,4,6,6,12,8,7,10,16,8,15,12,58,426,357
Trump,Phenomenal,1,3,2,0,2,2,2,4,6,1,2,4,1,3,2,4,13,65,62
Trump,Superb,2,2,3,4,6,5,7,3,7,5,5,8,7,8,10,11,25,100,147
Trump,Terrible,4,8,3,6,6,11,11,15,15,21,14,13,30,27,24,32,131,720,711
Trump,Terrific,4,0,0,0,1,1,4,4,3,8,2,5,6,6,6,7,29,137,102
Trump,Tremendous,1,1,3,3,4,3,4,4,12,11,3,5,11,7,6,3,66,348,313
Trump,Wonderful,9,4,6,7,9,15,13,17,19,21,22,22,17,26,24,25,90,446,466
